year,site,side,zone,obs_unit_id
2010,ANACAPA_EAST_ISLE,E,OUTER,113
2010,ANACAPA_EAST_ISLE,W,INNER,114
2010,ANACAPA_EAST_ISLE,W,OUTER,115
2010,ANACAPA_MIDDLE_ISLE,CEN,INNER,116
2010,ANACAPA_MIDDLE_ISLE,CEN,OUTER,117
2010,ANACAPA_MIDDLE_ISLE,E,INNER,118
2010,ANACAPA_MIDDLE_ISLE,E,OUTER,119
2010,ANACAPA_MIDDLE_ISLE,W,INNER,120
2010,ANACAPA_MIDDLE_ISLE,W,OUTER,121
2011,ANACAPA_EAST_ISLE,CEN,INNER,122
2011,ANACAPA_EAST_ISLE,CEN,OUTER,123
2011,ANACAPA_EAST_ISLE,E,INNER,124
2011,ANACAPA_EAST_ISLE,E,OUTER,125
2011,ANACAPA_EAST_ISLE,W,INNER,126
2011,ANACAPA_EAST_ISLE,W,OUTER,127
2011,ANACAPA_MIDDLE_ISLE,CEN,INNER,128
2011,ANACAPA_MIDDLE_ISLE,CEN,OUTER,129
2011,ANACAPA_MIDDLE_ISLE,E,INNER,130
2011,ANACAPA_MIDDLE_ISLE,E,OUTER,131
2011,ANACAPA_MIDDLE_ISLE,W,INNER,132
2011,ANACAPA_MIDDLE_ISLE,W,OUTER,133
2012,ANACAPA_EAST_ISLE,CEN,INNER,134
2012,ANACAPA_EAST_ISLE,CEN,OUTER,135
2012,ANACAPA_EAST_ISLE,E,INNER,136
2012,ANACAPA_EAST_ISLE,E,OUTER,137
2012,ANACAPA_EAST_ISLE,W,INNER,138
2012,ANACAPA_EAST_ISLE,W,OUTER,139
2012,ANACAPA_MIDDLE_ISLE,CEN,INNER,140
2012,ANACAPA_MIDDLE_ISLE,CEN,OUTER,141
2012,ANACAPA_MIDDLE_ISLE,E,INNER,142
2012,ANACAPA_MIDDLE_ISLE,E,OUTER,143
2012,ANACAPA_MIDDLE_ISLE,W,INNER,144
2012,ANACAPA_MIDDLE_ISLE,W,OUTER,145
